word,type,replacement,emotion,source
castigo,,punishment,Neutral,pdf
casá,v,marry,Neutral,pdf
causa,"""cause","reason, motive",Neutral,pdf
causa de,adv.,because of,Neutral,pdf
cavana,,used to someone has just had a sex,Neutral,pdf
cay,"""because","since, considering, inasmuch",Neutral,pdf
cejas,,eyebrow,Neutral,pdf
celebra,,to celebrate,Neutral,pdf
celebracion,,celebration,Neutral,pdf
celebración,n,celebration,Neutral,pdf
celeste,,sky,Neutral,pdf
celestial,"""celestial",heavenly,Neutral,pdf
celos,,jealousy,Neutral,pdf
celoso,,jealous,Neutral,pdf
cementerio,,cemetery,Neutral,pdf
cementeryo,,cemetery,Neutral,pdf
cen,,money,Neutral,pdf
cena,,dinner,Neutral,pdf
cencillo,,coins,Neutral,pdf
ceniza,,ash,Neutral,pdf
centra,"""to aim",to place something in the middle,Neutral,pdf
centro,,center,Neutral,pdf
cerca,,near,Neutral,pdf
ceremonia,,ceremony,Neutral,pdf
cerra,,to close,Neutral,pdf
chamba,,luck,Neutral,pdf
character,,character,Neutral,pdf
chico,"""boy",young man,Neutral,pdf
chismis,,gossip,Neutral,pdf
chocolate,,chocolate,Neutral,pdf
chonggo,,monkey,Neutral,pdf
cielo,,sky,Neutral,pdf
ciencia,,science,Neutral,pdf
cine,,movie theater,Neutral,pdf
cintura,"""waist",waistline,Neutral,pdf
cinturon,,belt,Neutral,pdf
cinturón,n,belt,Neutral,pdf
cirujano,,surgeon,Neutral,pdf
ciudad,,city,Neutral,pdf
civil,,civil,Neutral,pdf
civilasao,,civilized,Neutral,pdf
claridad,,clarity,Neutral,pdf
claro,,clear,Neutral,pdf
claro ya el basilan,,expression of certainty or of favorable conclusion especially when someone or a group is likely to win a game,Satisfaction,pdf
clase,,class,Neutral,pdf
clavao,,nailed,Neutral,pdf
clavetia,,to nail,Neutral,pdf
clavo,,nail,Neutral,pdf
clavo-clavo,"""peperomia pellucida","a small plant with heart-shaped, fleshy and shiny leaves",Neutral,pdf
cobra,,to collect money,Neutral,pdf
coche,,car,Neutral,pdf
cochina,,a female person who is disgusting,Neutral,pdf
cochinadas,"""disgusting","dirty, unpleasant",Concern,pdf
cochino,,a male person who is disgusting,Neutral,pdf
cocina,,to cook rice,Neutral,pdf
cocoracha,,cockroach,Neutral,pdf
codo,,elbow,Neutral,pdf
coji,,to catch,Neutral,pdf
colebra,,snake,Neutral,pdf
colector,,collector,Neutral,pdf
color,,color,Neutral,pdf
colorao,,red,Neutral,pdf
comandante,,commandant,Neutral,pdf
come ya,,have a nice meal,Neutral,pdf
comete,"""to commit","make, do, act",Neutral,pdf
comida,,food,Neutral,pdf
comigo,,me,Neutral,pdf
como,,like,Neutral,pdf
como esta usted,,how are you? (formal),Neutral,pdf
como se dice ... en chabacano?,,how do you say ... in chabacano?,Neutral,pdf
como se habla ... en chabacano?,,how do you say ... in chabacano?,Neutral,pdf
compara,,to compare,Neutral,pdf
competi,,to compete,Neutral,pdf
competicion,,competition,Neutral,pdf
complea,,to comply,Neutral,pdf
completa,,to complete,Satisfaction,pdf
completamente,,completely,Neutral,pdf
completo,,complete,Satisfaction,pdf
compra,,to buy,Neutral,pdf
computeran,,internet cafe,Neutral,pdf
con,,with,Neutral,pdf
con el gas station,,where is the nearest gas station,Neutral,pdf
con hambre,,hungry,Neutral,pdf
con permiso,,excuse me,Neutral,pdf
conciencia,,conscience,Neutral,pdf
